10
-4.2126,2.01473,4.1256,0.954924,-0.14514,-0.251729,-0.0607236
0,0,0,1,0,0,0
-2,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
2,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
end
-4.2126,2.01473,4.1256,0.954924,-0.14514,-0.251729,-0.0607236
0,0,0,1,0,0,0
-2,1,-5.12941e-16,0.987227,0.135612,-0.0204167,0.0810865
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
2,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
end
-4.2126,2.01473,4.1256,0.954924,-0.14514,-0.251729,-0.0607236
0,0,0,1,0,0,0
-2,1,-3.40006e-16,0.789411,0.523404,-0.0672862,0.313611
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
2,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
end
-4.2126,2.01473,4.1256,0.954924,-0.14514,-0.251729,-0.0607236
0,0,0,1,0,0,0
-2,1,6.69701e-17,0.493168,0.77996,0.366959,0.117429
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
2,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
end
-4.2126,2.01473,4.1256,0.954924,-0.14514,-0.251729,-0.0607236
0,0,0,1,0,0,0
-2,1,-1.55084e-15,0.345477,0.667697,0.531111,-0.39083
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
2,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
